V-1,V-2,V-3,V-4,V-5,V-6,V-7,V-8,V-11,V-12,V-13,V-14,V-15,V-16,V-17,V-18,V-19,V-20,V-21,V-22,V-23,V-24,V-25,V-26,V-27,V-28,V-29,V-9
1,"3,150",920,598.50,190,1010.84,16,"1,200","6,282",53.92,59.10,5.37,"282,104","3,280",58.22,163.15,"8,317",15.00,766.14,824.22,"1,755","8,007",64.00,58.61,"3,402","29,575","607,308","2,200"
1,"7,600","1,140",3040.00,400,963.81,23,"2,900","3,250",97.24,96.64,2.97,"598,494","3,684",98.82,171.36,"11,690",15.00,1313.86,1410.34,"8,648","8,675",98.19,97.96,"12,545","31,950","1,022,789","5,000"
1,"4,800",840,480.00,100,689.84,15,630,"2,180",38.96,39.87,1.38,"144,653","1,274",33.43,178.04,"4,043",15.00,581.18,679.75,"1,755","6,162",42.17,34.99,"1,571","27,120","436,472","1,200"
1,685,202,13.70,20,459.54,4,140,"2,375",11.14,6.97,2.21,"32,818",332,11.73,31.71,336,12.00,178.93,188.00,"1,490","1,529",10.46,9.28,523,"18,075","127,630",165
1,"3,000",800,1230.00,410,631.91,13,"5,000","6,344",176.16,148.16,5.50,"1,447,982","9,360",190.06,283.13,"49,351",11.60,2458.04,2709.20,"9,272","9,343",144.29,150.74,"9,809","34,438","1,875,427","5,500"
1,"2,500",640,1050.00,420,647.32,12,"4,800","6,344",176.16,148.16,5.50,"1,447,982","9,360",190.06,283.13,"49,351",11.60,2458.04,2709.20,"9,272","9,343",144.29,150.74,"9,809","34,438","1,875,427","5,200"
1,"1,810",492,1158.40,640,843.98,11,"5,700","6,514",191.28,160.91,6.02,"1,515,674","11,036",221.88,213.36,"38,017",11.00,2588.18,2992.90,"9,252","9,338",151.20,158.36,"10,158","27,332","2,015,433","5,800"
1,"1,150",380,575.00,500,590.68,6,"5,300","4,744",237.78,201.38,5.39,"1,707,975","15,831",281.00,245.71,"46,832",11.00,3182.62,3599.32,"9,507","9,619",178.37,190.84,"10,047","35,378","2,316,892","4,600"
1,"2,110",540,189.90,90,732.14,5,690,"3,600",31.96,33.62,2.71,"108,506","1,749",27.68,92.91,"1,896",15.00,463.32,630.38,"1,755","4,613",32.98,25.41,"1,914","22,258","406,027",870
1,"3,030",930,515.10,170,1007.38,3,"1,500","4,981",49.08,56.64,4.09,"215,567","2,273",47.14,160.14,"7,113",15.00,704.38,771.02,"1,755","8,235",57.48,49.15,"2,603","28,750","610,491","1,700"
1,750,200,90.00,120,846.15,6,"1,100","2,264",41.70,43.81,1.72,"159,443","1,279",34.34,167.34,"4,338",15.00,599.02,654.95,"1,755","7,535",46.26,38.32,"1,617","23,615","501,566","1,500"
